Ref_produit,Categorie,Description,Marque
Eocesseur: 32 nm. Segment de marché: Serveur",HP
WG694AV,Processeurs,"HP Intel Xeon E5640. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG723AV,Processeurs,"HP Intel Xeon X5650. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG697AV,Processeurs,"HP Intel Xeon X5667. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG722AV,Processeurs,"HP Intel Xeon E5640. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG712AV,Processeurs,"HP Intel Xeon E5620. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG699AV,Processeurs,HP INTEL XEON X5677 3.46 12MB/1333. composant pour: Serveur/Station de travail. Segment de marché: Serveur,HP
WG714AV,Processeurs,"HP Intel Xeon E5640. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WD951AV,Modules de mémoire,"HP 8GB DDR3-1333 ECC. Mémoire interne: 8 Go, Disposition de la mémoire (modules x dimensions): 2 x 4 Go, Type de mémoire interne: DDR3, Fréquence de la mémoire: 1333 MHz, ECC",HP
WG720AV,Processeurs,"HP Intel Xeon E5620. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG713AV,Processeurs,"HP Intel Xeon E5630. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WD955AV,Modules de mémoire,"HP 8GB DDR3-1333 ECC. Mémoire interne: 8 Go, Disposition de la mémoire (modules x dimensions): 2 x 4 Go, Type de mémoire interne: DDR3, Fréquence de la mémoire: 1333 MHz, ECC",HP
WD957AV,Modules de mémoire,"HP 24GB DDR3-1333 ECC. Mémoire interne: 24 Go, Disposition de la mémoire (modules x dimensions): 6 x 4 Go, Type de mémoire interne: DDR3, Fréquence de la mémoire: 1333 MHz, ECC",HP
WG700AV,Processeurs,"HP Intel Xeon X5680. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG693AV,Processeurs,"HP Intel Xeon E5630. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG717AV,Processeurs,"HP Intel Xeon X5667. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG701AV,Processeurs,"HP Intel Xeon E5507. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Modèle de processeur: E5507. Segment de marché: Serveur",HP
WG698AV,Processeurs,"HP Intel Xeon X5670. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
WG703AV,Processeurs,"HP Intel Xeon E5630. Famille de processeur: Intel® Xeon® séquence 5000, Socket de processeur (réceptable de processeur): Socket B (LGA 1366), Lithographie du processeur: 32 nm. Segment de marché: Serveur",HP
