Ref_produit,Categorie,Description,Marque
T6208AAE,Non classé,HP BAC SLM for Business Process Monitor 200+ Targets SW E-License,HP
VT122PA,Laptops,HP Mini 110-1101TU PC,HP
VT491AA,Claviers,"HP VT491AA. Facteur de forme du clavier: Taille réelle (100 %). Style de clavier: Droit. Technologie de connectivité: Avec fil, Interface de l'appareil: USB, Utilisation recommandée: Universel. Couleur du produit: Noir",HP
VV357PA,Laptops,HP Compaq Presario CQ61-318TX Notebook PC,HP
FL963UT,PC/postes de travail,HP xw4600 Workstation,HP
570223,Systèmes d'exploitation,HP Microsoft Windows Svr 2008 Enterprise 10 CAL Reseller Option Kit Russian SW,HP
KZ259AA,Appareils photos numériques,HP SB360 Digital Camera,HP
J9146AZ,Commutateurs réseaux,HP 2910-24G-PoE+ al Switch for Factory Integration,HP
HE820A1,Logiciels de développement,HP Engagement Mgr SSO Full Time SW SVC. Type: Logiciel de développement,HP
T4854AA,Licences et mises à jour de logiciel,HP CAE Server Management Suite SW License,HP
T3507AAE,Licences et mises à jour de logiciel,HP CM Patch Manager 1000 Users PC SW E-License,HP
T3322BAE,Licences et mises à jour de logiciel,HP Application Manager v4 Windows Desktop Radia PC SW E-License,HP
PHA00012,Logiciels utilitaires pour PC,HP Pharos pcProx HID RS232 Reader. Type: Impression,HP
PHA00010,Logiciels utilitaires pour PC,HP Pharos Card Connector (per dev) Kit. Type: Impression,HP
TRO00547201,Imprimantes laser,HP TROY 9050TN MICR 2T/0L/110V Printer,HP
T4759AA,Licences et mises à jour de logiciel,HP CAE Management Suite Upgrade 1000 Users SW License,HP
CH228A,Logiciels utilitaires pour PC,HP Onyx Poster Shop RIP Software. Type: Impression,HP
CJ741AAE,Licences et mises à jour de logiciel,HP Dialogue Module for VDX Output MVS-Z/OS Production SW E-LTU,HP
CJ903AAE,Licences et mises à jour de logiciel,HP Dialogue Module for Composed XML Workstation Engine Production SW E-LTU,HP
CJ870AAE,Licences et mises à jour de logiciel,HP Dialogue Module for Compliance Support Wrkstn Engine Production SW E-LTU,HP
CQ569AAE,Licences et mises à jour de logiciel,HP Output Manager for OpenView Production SW E-LTU,HP
CQ550AAE,Licences et mises à jour de logiciel,HP Output Server 50 License Block Users (1k-2999) Production SW E-LTU,HP
CQ680AAE,Logiciels utilitaires pour PC,HP International Printing for Output Server Software. Type: Impression,HP
PHA00036,Licences et mises à jour de logiciel,HP Pharos UP Off The Glass Base Standard License,HP
PHA00045,Logiciels utilitaires pour PC,HP Pharos UP Off The Glass Site (FTE 20k-30k) License. Type: Impression,HP
TRO81132001,Cartouches de toner,HP Troy 1012/1018/1020/1022 MICR Toner Cartridge,HP
TROHP573101,Imprimantes laser,HP TROY 3005N MICR Secure 1T/0L/110V Printer,HP
TROHP572102,Imprimantes laser,HP TROY 3005N MICR 1T/0L/220V Printer,HP
T9573AA,Logiciels de développement,HP AMP Base Server SW License. Type: Logiciel de développement,HP
T9585AA,Logiciels de développement,HP AMP Concurrent User Non-Production SW License. Type: Logiciel de développement,HP
T9588AA,Logiciels de développement,HP AMP 1-Sensor Suite Non-Production includes 1 WebInspect User SW License. Type: Logiciel de développement,HP
T9485AA,Logiciels de développement,HP SiteScope Microsoft SQL Server 2005 Solution Template SW License. Type: Logiciel de développement,HP
T9567AA,Logiciels de développement,HP BAC SLM for BPI per Business Process SW License. Type: Logiciel de développement,HP
T9473AAE,Logiciels de développement,HP SaaS DDM for BAC Found (SE) 1001+ CPU 1 Year Bundle Support SW ELicense. Type: Logiciel de développement,HP
T6207AA,Logiciels de développement,HP BAC SLM for Business Process Monitor 51-200 Targets SW License. Type: Logiciel de développement,HP
T6203AA,Logiciels de développement,HP SaaS BAC SLM for SiteScope 51-500 Points 1 Year Bundle Support SW License. Type: Logiciel de développement,HP
BB185AAE,Licences et mises à jour de logiciel,HP Business Process Insight Enterprise Foundation SW E-License,HP
