id,Ref_produit,Marque,Description
1,W127356758,Ivanti,Connect Secure License VPN 
2,DIC-D31160,Dicota,Privacy filter 4-Way for Lenovo Yoga 3 Pro self-adhesive
3,B760 DS3H,Gigabyte,GIGA B760 DS3H S1700/DDR5/ATX
4,CON-PSUP-CCW913AX   ,CISCO               ,PRTNR SUP 24X7X4 CISCO EMBEDDED
5,536410-DD1,HPinc,SPS-KEYBOARD 14 - ICE                   
6,W126076021,Lenovo,Upper Case ASM_NORDIC 
7,CON-ECMU-UPGADGF,cisco,CISCO SWSS UPGRADES NX-OS Upgrade License Ess To Adv 1G Pl
8,SVEXMSHI4,also,Installation mise ss tension Surface Hub 2S 85p PROV
9,W126042868,Asus,UX330UA-1C 
10,Z1AW_376_FR_CTO,APPLE,CTO/MBP14 M3Max Space Black/Puce M3 Max CPU16_GPU40_NE16 + 128 Go memory/SSD_2TB/KB_ES/No_Software
11,NQUIRE1500PRW-0C    ,NEWLAND             ,NQUIRE- 1500 MOBULA CUSTOMER   
12,W128111591,Cambium Networks,Care Advanced Add-on to 
13,376639-B21,hewlett packard enterprise,HPE MEM 2GB KIT (2x1GB) DDR PC3200 DDR
14,01LV710,Lenovo,BDPLANAR i3-6100UWIN Y-TPM
15,4407923760,Toshiba,M/Dc Adf 346
16,1407090,Epson,Housing Cd-R Assy B
17,zp1083320-037c,ZEBRA,"Zebra interface card, Wi-Fi, Bluetooth Interface card, Wi-Fi (802.11ac), Bluetooth (4.2), fits for: ZT111, ZT211, ZT231, ZT410, ZT411, ZT420, ZT421, ZT510, ZT600"
18,W125733321,Lenovo,BDPLANAR W8S N2940 TPM Psensor
19,2119944,Epson,Ros Assy 31 1200
20,F9FF3,Dell,ASSY DVDRW 8X 9.5 TSST WHT
21,4402444490,Toshiba,Bracket Arm Scr
22,6LA58664400,Toshiba,Jam Release Kb
23,RAM-FP3-5910-1970,RAM Mounts,A28 RAM CUSTOM FACEPLATE
24,W125886365,Lenovo,FRU BN8E88 PCIE 1000M LP
25,W126256584,Canon,ATRIX 421-000-005 (HEPA) T
26,APC-SURT48XLBP,APC,APC Smart-UPS RT 48V Battery Pack
27,MCG22,Dell,DIS FPL 22W P2210T DAO PLHD
28,T9U23AA,HP,Z640 Xeon E5-2690 v4 2.6
29,U53ZCE              ,hp inc.             ,HP 5Y ACTIVE CARE NBD ONS WS   
30,30846859,SCHROFF,Face avant EMC 9U 84TE 30846-859
31,PRTKYTK5290Y,Prindo,ORIGINAL Prindo Toner Jaune PRTKYTK5290Y ~13000 Seiten
32,W126068023,HP,HARNESS - FDB / SMPS FAN / 
33,FU5-2417,CANON,SPRING
34,F.01U.206.321,Bosch,SPP STD Pan M3x6 Torx A2
35,AP9807,APC,Cable UPS Link f Hitachi
36,010-02503-11,Garmin,Garmin Edge 1040 Bundle
37,W126856006,Samsung,"ASSY PCB MAINHW-NW700,ZG"
38,840758-091,hp enterprise,HPE Memory 32GB 2Rx4 PC4-2666V-R Smart Kit
39,44T5669-RFB,IBM,CABLE SERIAL PORT 743 MDL
40,6LA58652500,Toshiba,Glass Fix Unit
41,Z1BW_637_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Midnight/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/8 Go  mémoire unifiée/SSD 1 To/Clavier arabe/USB C 35W double/FinalCut_Pro_&_Logic_Pro"
42,10910100030,EKL,EKL Gehäuselüfter 92 x 92 x 25 mm
43,BCXST2000BP,Online USV,Online USV BCXST2000BP - UPS battery 
44,7640601631,Toshiba,Zpan60*16Mszn3A
45,U9ZF8E              ,hp inc.             ,EPACK 4YR NBD+DMR DESIGNJET    
46,FM4-9768-010,Canon,FM4-9768-010 CONTROL PANEL ASSY
47,DS-72211-1GE,DIGITUS,DIGITUS Modulare Konsole mit 19 1Port KVM&Touch DE
48,2150A011,HPent,HP Spare Switch Rear Bracket Type A  
49,W125884872,Lenovo,Padme-3 (X1 Extreme 
50,832805-151,HP,Top Cover & Keyboard (Greece)
51,L-DNA-C8000V        ,CISCO               ,CISCO DNA SUBSCRIPTION FOR     
52,CFQ7TTC0HD40:0001:COM:P1Y:A:DE,Microsoft CSP,Dynamics 365 Fraud Protection Loss Prevention
53,S26361-F3708-L100,fujitsu,FUJITSU HDD 1TB SATA 6G 7.2K HS 2.5'' BC
54,1025305,Epson,FX/LQ2170 ROLLER PR EJECT/DR
55,5N21B44365,lenovo,Raptor Keyboard Num BL 
56,W125890733,HP,ASSY MB UMA i5-10210U
57,FRU04W2795,Lenovo,KBD CFA
58,W125896623,Lenovo,"TR(P) CS20 KBD LTN,NBL,BK,KOR"
59,D31308-RPET,DICOTA,Eco Slim Case BASE 15-15.6
60,W126349171,Brodit,ProClip
61,RC2-5416,HPinc,Drawer connector holder                 
62,W126881675,Lenovo,COVER Upper Case ASM_SPA 
63,9J07R70300,Konica Minolta,Left Cover Assy
64,456487501,Sony,Hood ( ALC-SH136)
